职位名称,公司名称,位置,工资,职位链接
软件测试工程师,悠米亚,武汉·洪山区·关山,200-260元/天,https://www.zhipin.com/job_detail/e265aefabfa03a681HN709u5EFNS.html?lid=4libl3EPBMj.search.46&securityId=OF5WETthyQgXo-O1fpSDJiq6hR8dZF-Q9LXZSePMXdYj3RhKCaqhjOnQ2ye8dH98NjULkictbQ61CE8DN_5RYoMw4vxpY3s4fnktUuTkVPR1VzKI8A~~&sessionId=
软件测试工程师,丰图科技,武汉·江夏区·藏龙岛,13-18K·15薪,https://www.zhipin.com/job_detail/050292f198f67c161nF63t6-E1BV.html?lid=4libl3EPBMj.search.47&securityId=zS0XDD5bx0H7m-I1AcFgPEHoXqm2GYYhdGGcxDBAH5nBBov5xY0q_cG9Sav9fQQUpg7Us7-Dhzb3wa1dr3w53ISB-zyaR_I3oaI2P1tU5fHcwKm-nw~~&sessionId=
软件测试主管,宇亿润宸,武汉·洪山区·珞珈山,8-13K,https://www.zhipin.com/job_detail/ec2f634d917548341HFz0tm0FlVY.html?lid=4libl3EPBMj.search.48&securityId=Qtqs48USWnzC7-21c7MKF5OqivJ4te9v9e_qUy94-prJb0fNE3CBd_YRLn1ymkanbjoaNO4N487G9fH_LNcZaJNJuYOIeIm3MqmTqnS3yLA_6UaofQ~~&sessionId=
软件测试主管,中讯网联,武汉·江夏区·光谷,9-14K,https://www.zhipin.com/job_detail/269e79e4d42039c21XJ82t-4EFFS.html?lid=4libl3EPBMj.search.49&securityId=DnFDo4aXM3Aut-K1FwHTVyhVRLnV5bYmQxmgK69GC3n4_Xp6hl8klt0VmcQFO1X31u8p6kb0yx_yyqNrlnqV91kxRZAKj5uh90u0tzlPZDvZkOSHPQ~~&sessionId=
软件测试助理,武汉优美创力科技...,武汉·青山区·建二,5-7K,https://www.zhipin.com/job_detail/a749c16abead4da91XF-2tS-GVJX.html?lid=4libl3EPBMj.search.50&securityId=hp-rhIaFCdeBz-d1ugSdaPnzhe992q_6DiqBYzNXW1BnFYd7SszCit55sghWg2F78Ar-WW9MhYenatzkZOAYZlpsFdWPSKBJ-up0yQTGw4oNtwC1-Shj&sessionId=
软件测试工程师,鼎智云链,武汉·江夏区·藏龙岛,5-10K,https://www.zhipin.com/job_detail/9d94b843ed2a127f1n142d-7FVJS.html?lid=4libl3EPBMj.search.51&securityId=Pg1iyKF0YxTyQ-a1t2axM6CfKU7UKbzB2Vg2FpKWRGX6bgMU9cR9zoSE81k07VBaDM0DR3Zd147n_nsOyWyY3TWOITVei0ZkTJ296b0jyjiMWhICdvAy&sessionId=
软件测试工程师,湖北软件评测中心,武汉·武昌区·珞珈山,4-9K,https://www.zhipin.com/job_detail/718a7d824dd7c1e91nN729y7ElZW.html?lid=4libl3EPBMj.search.52&securityId=4iIwR742Rtal4-i1g0yXf2gPY-SNSug1oIpwRFOhyNTs8vZmtw3tOi2_VFyDfdDJpCwH4UVylLNPHOmkOHoZP0xSaGydx4HUIrBJ4EUHKO3J7-UZvQ~~&sessionId=
软件测试主管,武汉趋动,武汉·江岸区·永清,8-10K·13薪,https://www.zhipin.com/job_detail/9b7ebb5a9658ab960XF83ti8FFQ~.html?lid=4libl3EPBMj.search.53&securityId=5A-iwFSG7WnXZ-l1r1g9oKkeezGDPb5if2p5r5u7PoLU37GXEnSMcL4F9SP09SLj_cdiRbKbuW3zTWeSrAUd28lZYO62n3Uvzkdvm91_hRH6dRqh&sessionId=
CAD软件测试,上海晨雨,武汉·蔡甸区·沌口,8-12K,https://www.zhipin.com/job_detail/ec695aeed682712c1HJ729u8FVRX.html?lid=4libl3EPBMj.search.54&securityId=jcVzb1FfozQRq-F1V6KaqPQTMn8ce198mt9HQE6gZOHltyaV-i-qCIe_4AIvt-DhhtZqo5N5tp77GsY5GFv_MHuAShWr0Fs2SixwK4PJdVt-JDSBiGk~&sessionId=
软件测试工程师,吉奥时空,武汉·江夏区·光谷,10-13K,https://www.zhipin.com/job_detail/34851cc68b8399601XNy2Ny8E1dS.html?lid=4libl3EPBMj.search.55&securityId=cPa8ZVOtiayv8-I1o_NOnb4nHak1rTBjrBwSz4Gu-QtEhGfaIiqY3svFpOyPBfuD_pMYTel2jFWGKIa5SOhqUWkUGYC2ecgNYpZ4cUas7R2SX2AwpA~~&sessionId=
软件测试工程师,瑞斯利,武汉·武昌区·武珞路,7-10K,https://www.zhipin.com/job_detail/abe4fe8521602ac71HB63ti_E1ZU.html?lid=4libl3EPBMj.search.56&securityId=7rEU_03QZnlE7-G1Lwz-MjhrG1LNnpGoi2tVgo_LqFsvXN6HDyoh_qD-JRyZm8lRoEWT8TLhPUYQZxPUZauijJId7Ziy14mYe54Qfw_ap0YXTVl2iYo~&sessionId=
软件测试工程师,华仲软件,武汉·洪山区·鲁巷,6-8K·14薪,https://www.zhipin.com/job_detail/23a106bff04712451XZ429W9GFRZ.html?lid=4libl3EPBMj.search.57&securityId=rdSBXUJDOPYD0-81s6QeyKxzuTJYrWYFhND2btpYZn3Og4GvFyg_6-CGGJJKa5aaPv9Fs_srfzQU6_LlBc2ZdFWOhn8tSRR_PrKRutvfheVXthOUrw~~&sessionId=
软件测试工程师,武汉界外科技有限公司,武汉·江夏区·武汉东湖高新区,6-9K,https://www.zhipin.com/job_detail/bb68ca6ce44cc08d1HN63dq0F1BZ.html?lid=4libl3EPBMj.search.58&securityId=2S_yclBzCfk2U-r1uq35O1iARv67O1fzgY8UPO8CIkKN1CvYgQ2uyXtH8xwmLVccAG4ReHNsm2hIYpFie_F2kWHmcN8gobBtf-xPSNHLmfrDwXJt0o5-5ZQdNJZXj89WOqqozNvVkYj3rMB1RdGbqAE~&sessionId=
软件测试工程师,武汉高德智感科技,武汉·江夏区·光谷,8-9K,https://www.zhipin.com/job_detail/5adf4b1d34738f4e1HN63tW4EFpQ.html?lid=4libl3EPBMj.search.59&securityId=64MS9o5y5Dv5j-P1yh0bu6y-_2OJbZ7XEkifq6ncivKnb0OyBPSdVb8EnvLtdp7hUXm9KKIuS6g5gzOyHF9j-lpMOVD2KzDwOBCRCr9qc95kNevgdN8~&sessionId=
软件测试工程师,杭州图科智能,武汉·洪山区·关山,6-9K,https://www.zhipin.com/job_detail/d2c117e4493ba17f1HN72tW6F1pZ.html?lid=4libl3EPBMj.search.60&securityId=0wcYv7bdMrfYH-j14h1jfm9W8kxoAT-q4X3NXudqU1QrlA7k-luU-5e-KnSpBxy_72GA55-PT2XwuuBpXmhzTouPAyrwt191rCkLoEiHH0fiKagAtbWR&sessionId=
工业仿真软件测试,高德信息产业,武汉·江夏区·光谷,5-10K,https://www.zhipin.com/job_detail/e2735346aa01abf71HV63t29FFpQ.html?lid=4libl3EPBMj.search.61&securityId=hlqN36-rcEso7-71AQV7-SVJY-X5JTLJCm8-hLqXI7XTJBvT5hNpdnLVfySR6WHwMQcqrTfzwUqi7sSnFb1eSOqcovTAB-yf01CAHKxGtH-tSrSEpP0~&sessionId=
软件测试工程师,奇安信集团,武汉·江夏区·关山,10-15K,https://www.zhipin.com/job_detail/7d5c65ce723896f81nN63dq-ElpY.html?lid=4libl3EPBMj.search.62&securityId=CXY3VgTHSRXeX-81V8Wz-zzQmDSLjAZcFXixpxOYCf2MbHNnVKcg4fzS7if1XcHwH5MEQncMAONi5dCBD0aecD7n0ggI4v4UOj5QSfxOYUPIixW2jw~~&sessionId=
软件测试工程师,深圳微桥网络技术,武汉·江夏区·光谷,6-8K,https://www.zhipin.com/job_detail/0c15f3e98b9a4b5b1nZ73tS9F1NQ.html?lid=4libl3EPBMj.search.63&securityId=bjXKEKA8N8e9u-X13K4xfR1YUGUMIsuESf2NWB3yf4rvslDm7MIMTheHYOD3TZblzUo1Q-8c3-jycURaOXj_N2xYZZrGN5QvqbSn60asxXOHErE6&sessionId=
软件测试（武汉）,亿车科技,武汉·江夏区·光谷,8-13K,https://www.zhipin.com/job_detail/3a05e2bb75e84ce91nN62Nq5FFtW.html?lid=4libl3EPBMj.search.64&securityId=422GkOFnT89b1-m1LaVKTNjgfGGRcm5NjXp8HrnZU20egzf3nfnG0j4fLzZUZ7p68l-9FeAe96I7--zmAMeTsOBqUPnpqIiR_2ZAE3ZjnwBJ&sessionId=
软件测试工程师,湖北脉视,武汉·江夏区·光谷,8-12K,https://www.zhipin.com/job_detail/f55e2b3e7996955f1nxz0tm9E1A~.html?lid=4libl3EPBMj.search.65&securityId=MpJlGlDJb51Gx-J1BFzOZyPz9jssDNh9Ga5SeB_nLxp0ZsB8gor30ygBQ-xy3EECQOq5O9cGwYQWA7jSri91HjAAoeZG__8k-sKr1H-n8AhC5q4~&sessionId=
软件测试工程师,珑堂贸易,武汉·江夏区·大花岭,8-9K,https://www.zhipin.com/job_detail/c1a56f95091b48050XN709i9EVo~.html?lid=4libl3EPBMj.search.66&securityId=V9geTvI53w9Py-w1o0kyad2azv8oqM76Af7EoLhkTzyM33UGYzeKDWlN2n7iOV_zQ-Bdnq7P3St9b7n0T6MKoGrEXeQWA5dypB2900colQDMwtyi&sessionId=
软件测试工程师,武汉奥浦,武汉·江夏区·流芳,6-10K·13薪,https://www.zhipin.com/job_detail/df56c18b36b1ff871Hx809y8F1tW.html?lid=4libl3EPBMj.search.67&securityId=KnxVdkMa5kWQj-i1trFf70lkpQSbjeYfQ9WVH0lLQxdqVAGH9_zcLRjqyo6F-pGSJoIsCZFbMYafC8YazpgpsNyV6JYRwdXfrwUcDycd4A-sJpIPTpU~&sessionId=
软件测试工程师,盛视科技,武汉·洪山区·光谷,10-12K,https://www.zhipin.com/job_detail/5adbd742f85848fc1HVy2dm_E1pR.html?lid=4libl3EPBMj.search.68&securityId=9KqhkJhfM9o4A-q1y24rG5w3KEPpxnZDGEg7S-SkVrEo8RCGrl3yatuoFI9CH_dmzZPe9EQEWQfUIlI6kvQbbJ_0t7N2UAOt5D6Oc-5xUt9f2Q4l&sessionId=
软件测试工程师,珍岛集团,武汉·江夏区·光谷,10-15K,https://www.zhipin.com/job_detail/f594d3ba7c2e8ef61XB73Ny0EVtV.html?lid=4libl3EPBMj.search.69&securityId=Xeka0VqY-Zf7q-b1uJL1ePJNiVABfV2qER8XvYGS5UrMl3jmvSdRvFuwUC29PM4zQCqfurw0Clq4rU6lz65uLVBKbL4wNZ_9ycZYXsl16s7X6iCHUbw~&sessionId=
软件测试工程师,触心创新科技,武汉·洪山区·关山,7-8K,https://www.zhipin.com/job_detail/e7d8bc1ef08d5dd21HF-3N26F1VX.html?lid=4libl3EPBMj.search.70&securityId=ae_edEqyyTXQd-x1SGIUEYYcBZb38svOhP3ZHmtaG7KQtIfER61DXWg9YMEX94marg3f-UjYSo2PbI9ydlfbo25hYHaurwuPavNmC5xk8-9QAr2W-hg~&sessionId=
软件测试工程师,信华信,武汉·江夏区·光谷东,8-12K,https://www.zhipin.com/job_detail/800cf49222afa2e31HJy3t-6E1NV.html?lid=4libl3EPBMj.search.71&securityId=xZGlVtNsChvoP-n1gO9U9uG2hOcYx1bi2r-7h2ZrTb5DpJbFMRjzTYFGtJofF5-KlGBiaCR38clwpRe5_aozm-cW4BW1AaPJgg0mqeUEkcGXMUrAk4o~&sessionId=
软件测试工程师,恒为,武汉·江夏区·光谷,10-15K,https://www.zhipin.com/job_detail/53e363ed87a832d31nF92N60FlRR.html?lid=4libl3EPBMj.search.72&securityId=-DxMFWKr4uLH5-21iSN4Bj0PdHcqbywAujup9DftN4118JAXjwUH_DnPi46YAPRtz4nFTG9bVZbWe-X_Iby67kxGBdV8v4eA4Z7Pa4PkZPNJOH4d&sessionId=
软件测试工程师,神州信息,武汉·洪山区·花山,10-13K·13薪,https://www.zhipin.com/job_detail/6cc20005fdf85a391HJ-09q5FVFY.html?lid=4libl3EPBMj.search.73&securityId=XeAHxkadB7Az4-71DvYi9xp0bNIPPs-wO8xzh_IT_QrAzloxJfN6cuATQDqm_iDOgMdWmQ8DVQ_Sz4ick3mwOrUh_ERpFkdbZxFpTxw_zMCx3cD7Z-Q~&sessionId=
软件测试工程师,锦辰数科,武汉·武昌区·汉街,6-9K,https://www.zhipin.com/job_detail/d0d2cd32c04be8ba1nV_3Nu5EltZ.html?lid=4libl3EPBMj.search.74&securityId=od-mhAOA0dmcT-r1mXMiieeQAjep-6wdWI4mW0kMZ7Qd8dUdhmr4TSkc5G7lRXZfxQyov0-REzkKgNQ4DygkLuOCTjtZKmd7DMowlFj795M9spLzfJo~&sessionId=
软件测试工程师,云链智慧,武汉·江夏区·光谷,6-9K,https://www.zhipin.com/job_detail/29a242d7fd0bfd3503N83du5GFo~.html?lid=4libl3EPBMj.search.75&securityId=TRp3xB5H8Zw4x-O1CHEadJpN_pPwSN9OcOAMc9CUt14CpSnj6R-8clil1RKKKtFEgDDuDfq7D5Fh1kuLb5h_P1uaxBKbH4eLQTziv0lNJ-rjB9qM&sessionId=
软件测试工程师,苏州联讯仪器,武汉·江夏区·流芳,11-17K·14薪,https://www.zhipin.com/job_detail/60c62201959f7dd41HR709S0ElFY.html?lid=4libl3EPBMj.search.76&securityId=aktIdl5HzgKPP-C1OH8hGKOBwt36sVS8ypa24p9BtMO7Rhs4Or1gdjaus0hnRQl_1e-JbbguKGn1qlwcB1gyBcTo92dSp-nXsfh_NLk04ITlGJsY-1Y~&sessionId=
软件测试工程师,朋悦科技,武汉·蔡甸区·沌口,5-7K,https://www.zhipin.com/job_detail/0034832a6cbf00771XJ-3N2-GFJX.html?lid=4libl3EPBMj.search.77&securityId=_q_UIPuQFhbxN-h1VQngDqVqrAsG-B7u_RH-_sbVk10uGF-cvbdFrOUTMIsOaArQy6Wtq7awqU8uoOD9fyAcx1HZriz8Pbksd9PIF_QyDy0Bp5fX6gY~&sessionId=
软件测试工程师,南泥湾,武汉·洪山区·光谷,4-7K,https://www.zhipin.com/job_detail/4b4e93068e4873e91Hx60tW9F1U~.html?lid=4libl3EPBMj.search.78&securityId=RB3E_rJiHXbQa-y1awWHxk23s7cBkaxrnXJ1kczdioH3Gtny-re6nIBsObeM45OIN7NRjw-7sMiHdIoGKAnEBGqtWTn0t-x7hV9iqzarKNbwREA~&sessionId=
软件测试工程师,图知科技,武汉·洪山区·广埠屯,5-10K,https://www.zhipin.com/job_detail/c4c513e3017235f21HN82tq0GFNU.html?lid=4libl3EPBMj.search.79&securityId=1zpdvsEgXQh0m-S10Ex9j_WBJVqv8hZChq-nkBJJ-qrwHEk65LmnZg1Pb_avp72lcN4ATqvSIDWdr8ol28dmKNk_-nd0xXowdsCDvZB3au5AZA18DjVc&sessionId=
软件测试工程师,君海数能,武汉·江夏区·光谷东,8-13K,https://www.zhipin.com/job_detail/9e0a7e25a812cce31HB43Nq5EVRV.html?lid=4libl3EPBMj.search.80&securityId=WEnBGBPc61DDS-e1b0J_ftFZqwrDu0ER8zz-A17RlSthYi0RJaoOk-M666A6-JhiHNUX-6ZugoEfMkubyMnLqtF1OHz0rdzElOn2Er1YMPlotmek2-0~&sessionId=
软件测试工程师,迈普通信,武汉·江夏区·光谷,10-15K·14薪,https://www.zhipin.com/job_detail/d15a9bc1567e43851nB92dq_ElBR.html?lid=4libl3EPBMj.search.81&securityId=3CeM55XCUP_7k-J1b4enUjiCKQUCA5q1mYEXwPA_8dHoj_-E6TV_R7nnajXFOPVZ6UmMpHid3XF29PsxqnAldjFmY6njhAZuJTflfrsmpEsLhpWHYA~~&sessionId=
软件测试工程师,沐金科技,武汉·洪山区·光谷,6-10K,https://www.zhipin.com/job_detail/c2a3e65edeb864691Hx52Nu8FFNW.html?lid=4libl3EPBMj.search.82&securityId=lA8YvkySUZQwR-n1TSdJZ-y8_7D0xnbDWeAnnz_2SsJUe_fFp5alBTHfbav7M83P0hBS2Wr7yiJkLZzdxau08NZMdNs2HNn8t_gAOGRKUsl4DBCSbw~~&sessionId=
高级软件测试工程师,光魔方科技,武汉·洪山区,8-12K,https://www.zhipin.com/job_detail/2d9a1cbeb65199fe1Xx_3t25FlFZ.html?lid=4libl3EPBMj.search.83&securityId=OnZwmC1zC8lCK-r1Z4GMlxTbf-qluPSt7OGSrcI4ahUUoATAja-n5NUXOQztilXdVE3Ak0yBg-YLUd1Ur6lucVYlWUJfIXePzjDP86o-JrCsfuA3e7UwoVtIFWzqlyoYsBdry5OWrUpDqcEL5KVRUA~~&sessionId=
软件测试工程师,武汉至简天成科技,武汉·洪山区·光谷,6-10K,https://www.zhipin.com/job_detail/0d085a0e158e374a1Xd93Ni-FFdW.html?lid=4libl3EPBMj.search.84&securityId=TDJ6HuCeSvIP--G1cLBvnkE1ahnSz1hiFNhnVzRr6NDfv-bWY0RIfZv3iYG_HXboqQDvgCtIvhpkj1RMS8dIBekWrzoSnZCEoSDIKp0xrjdWHOKp&sessionId=
高级软件测试工程师,北大软件,武汉·洪山区·珞狮南路,9-12K·15薪,https://www.zhipin.com/job_detail/f5b6f11f80680ad01nZ62d6-F1VV.html?lid=4libl3EPBMj.search.85&securityId=e29BjmRWcJ03n-z1M9nNAkoL7wyJ8y3HucwrVOJu2S9u44rc8ttBiLcG3WLykZDn1prFORPCpuzoQJYyBkZSTkLxOoPCpJrKf-zWO3emOaYFX5gx&sessionId=
软件测试实习生,ASML,武汉·洪山区·光谷东,200-300元/天,https://www.zhipin.com/job_detail/6854ad64ed0fc40c1HR60t-1E1JT.html?lid=4libl3EPBMj.search.86&securityId=h0q8qi3ZCTRMr-61aNdpeVeYb87lUTht9Pn8bxpVocmjFj5MamDlLuVZcpWCmQIvhtWGa6N_GrAV_tuthsfz-pbhY46QYXEIAyfQvIYVX1BHgCC4sXA~&sessionId=
软件测试工程师,鼎欣,武汉·江夏区·流芳,6-9K,https://www.zhipin.com/job_detail/708b121cde2c9ddd1nVy3tu-F1VR.html?lid=4libl3EPBMj.search.87&securityId=KBrfEPmYKgP6w-018J10xvn0cK6LiJOxxbIpJJFDpcYBX69ebyC4rcdzW3knXcZ663ga9HWHnKad0Sae2OH38qpIkgZv-zCtjUqsOEK0YAWM26yPs20~&sessionId=
软件测试工程师,和利行,武汉·蔡甸区·沌口,4-5K,https://www.zhipin.com/job_detail/e4f8a41bf325a08b1nB809W9F1FT.html?lid=4libl3EPBMj.search.88&securityId=ADL5L7kGpXMIX-Y1Ri5cWyDHIs5Pj9AvhIo7hNC4Lx4iV6M-dQDpao4WCzup3-_ExKLLGCthsOMjY5bOwgLtPHDECRuNiqUSPVYKNcekHBmfIkCV-FCG&sessionId=
软件测试工程师,飞鹿科技,武汉·洪山区·关山,3-8K,https://www.zhipin.com/job_detail/536b4aaf779c718f1XZ52Nm8GFRY.html?lid=4libl3EPBMj.search.89&securityId=D4PaCpfpxJneO-u1FJnbKFWyLPckoGgrIA25el4oLAFogSAGcFkEgqdalbbcNUWSpBdL_UnWIAlBIKI__ocQSiSZsjJ2JDm1pPAysLbhWe5ifYZdY9A~&sessionId=
软件测试工程师,链动时代,武汉·洪山区·关山,10-15K·14薪,https://www.zhipin.com/job_detail/fea3cfd391906a0c1nB90tu7E1JW.html?lid=4libl3EPBMj.search.90&securityId=jaJjGg2vz33wF-f1MMB6ZncD-5bTZ0Rd_8lTAUnB0ShDBwMQyZnhYfLNfVvT2FWzXeUd2rsQPRdcRGUSNSPysGsClA_V6gw5Hd81hZawaueQ11YulQ~~&sessionId=
